ordinal,repeat_seed,scenario_index,noise_seed,duration_hours,dt_minutes,initial_zone_c,setpoint_c,outdoor_c,internal_load_w,door_open_hour,setpoint_change_hour,setpoint_after_c,integration_substeps
22,211,6,700028,5.0,1.0,27.972855358665996,25.145967339495723,38.4983297565312,1838.3397206146053,-1.0,0.8190724032182678,26.82470742725394,6
23,211,7,700029,5.0,1.0,18.08919076325617,22.700037546975597,28.621305423114293,651.2787433618756,-1.0,0.22697991249376817,21.84613915320251,6
24,211,8,700030,5.0,1.0,25.195262016619303,23.79996870273565,32.80169913449272,1449.873601070306,1.082694637829088,-1.0,-1.0,6
25,211,9,700031,5.0,1.0,23.089620537216398,23.099949031562666,31.155216676961107,1785.7736406990575,-1.0,1.3217539994964056,21.560748514625914,6
26,211,10,700032,5.0,1.0,28.764119892035197,23.8267171601687,33.768339220070295,1783.3507304788166,-1.0,-1.0,-1.0,6
27,211,11,700033,5.0,1.0,23.308349343593115,24.986412792740353,33.549093906683524,1886.7527831320401,-1.0,-1.0,-1.0,6
28,211,12,700034,5.0,1.0,24.773652898627326,24.68028091940134,34.833967506646935,437.64626048703656,-1.0,3.7512268268888818,23.260446467369384,6
29,211,13,700035,5.0,1.0,29.313437329243683,25.163270722739583,36.69988395280804,361.7345265819914,-1.0,-1.0,-1.0,6
30,211,14,700036,5.0,1.0,23.69135447764437,22.676528546082224,35.91175802990891,1171.276983484266,-1.0,-1.0,-1.0,6
31,211,15,700037,5.0,1.0,29.29218146966057,24.741893664334043,32.02748523405438,623.7024027578138,-1.0,-1.0,-1.0,6
32,211,16,700038,5.0,1.0,20.401708648478465,23.992726013327506,31.27943936447534,1170.2102775220983,-1.0,0.3173503419837377,23.187919157492544,6
33,307,1,700039,5.0,1.0,25.090856224400824,24.8813903506459,29.17535022922685,333.22502520457107,-1.0,3.311981414600302,23.39120356912871,6
34,307,2,700040,5.0,1.0,26.029701387932285,24.55691305790578,35.679314197779235,1580.8897316802856,-1.0,-1.0,-1.0,6
35,307,3,700041,5.0,1.0,26.2528038924572,23.975430131015695,28.8925629646185,1726.286208649304,-1.0,-1.0,-1.0,6
36,307,4,700042,5.0,1.0,29.23875737065722,25.274712868895833,33.58162823487677,1567.455202557599,-1.0,2.204415869985926,26.151766711722676,6
37,307,5,700043,5.0,1.0,23.959678286870226,22.634389222920692,38.09406167364325,1132.0473867235492,1.5949634676522422,-1.0,-1.0,6
38,307,6,700044,5.0,1.0,27.271687149665752,24.66919529828801,30.11306556799669,1368.8247761363289,-1.0,-1.0,-1.0,6
39,307,7,700045,5.0,1.0,25.555004593107572,24.07229253790584,34.838664724845,1700.3438807385292,1.45365790625145,-1.0,-1.0,6
40,307,8,700046,5.0,1.0,23.53833607408558,22.848799543268786,35.65357793272483,956.7136664320726,-1.0,-1.0,-1.0,6
41,307,9,700047,5.0,1.0,22.342348997239657,23.53607579240713,30.390081849046464,1610.3315073179997,-1.0,-1.0,-1.0,6
42,307,10,700048,5.0,1.0,20.05508731859357,23.98788667062714,37.66867843787433,1573.1441660553576,-1.0,0.2697614822934995,23.14067130461432,6
43,307,11,700049,5.0,1.0,23.361018968587498,22.90234989005118,36.36808671259334,377.25027438862264,-1.0,-1.0,-1.0,6
44,307,12,700050,5.0,1.0,23.902385661145907,23.086500652656653,37.09602285960255,866.1656874589963,-1.0,2.3872459228355876,21.725423486785445,6
45,307,13,700051,5.0,1.0,21.816246352795403,23.67069965262899,36.84164653962757,735.5918507840098,-1.0,-1.0,-1.0,6
46,307,14,700052,5.0,1.0,27.775035935436616,25.292640674820323,31.377778735476422,721.5124805250962,-1.0,3.1745289347986745,26.095973311779648,6
47,307,15,700053,5.0,1.0,20.573911192205657,24.36027553516801,30.775475743242588,913.6644097411152,-1.0,0.21694607335253444,23.231279052335715,6
48,307,16,700054,5.0,1.0,22.032695072370288,23.560202075487894,28.67165395638801,1369.92418368197,-1.0,-1.0,-1.0,6
49,401,1,700055,5.0,1.0,23.542876923491466,22.885670733042534,36.38950580590495,405.68746990436523,-1.0,1.178622442430972,20.991487529651064,6
50,401,2,700056,5.0,1.0,19.415488874494603,22.72357364398677,38.984634744955784,936.2259186562273,-1.0,-1.0,-1.0,6
51,401,3,700057,5.0,1.0,21.46118971148515,22.680282443125307,35.421336129794824,1530.9924805025248,-1.0,-1.0,-1.0,6
52,401,4,700058,5.0,1.0,17.800463539661756,22.74480128328927,34.0867260904359,1376.733751601401,-1.0,0.28824629399799695,21.487830241510977,6
53,401,5,700059,5.0,1.0,27.695599998260786,24.786319280646374,37.992821815694555,1387.7767950693058,-1.0,2.204713975123281,26.049583564705102,6
54,401,6,700060,5.0,1.0,19.020949699674134,23.630508075964023,36.98163050556748,1632.4715661935904,-1.0,0.30521904752263307,22.41434359242394,6
55,401,7,700061,5.0,1.0,24.360705307153328,23.31456757474999,32.089993027643665,1069.7553316284593,3.1862290225920384,-1.0,-1.0,6
56,401,8,700062,5.0,1.0,24.81389230067182,24.22126274448304,37.16201667785775,1321.167097548657,1.748580230023902,-1.0,-1.0,6
57,401,9,700063,5.0,1.0,26.05310365560418,23.302699749786775,35.554773849136566,344.93719991747156,-1.0,-1.0,-1.0,6
58,401,10,700064,5.0,1.0,25.152627709463818,23.82843243760862,32.306329099161374,1797.9628305114647,-1.0,-1.0,-1.0,6
59,401,11,700065,5.0,1.0,24.90278422328451,23.455667694435007,28.68447455802451,1350.7698764939153,-1.0,-1.0,-1.0,6
60,401,12,700066,5.0,1.0,26.005029748014135,24.845986938703117,35.94563560452025,336.44195978008963,-1.0,2.55054393569689,26.427888483706514,6
61,401,13,700067,5.0,1.0,23.94577443664958,24.26536447194991,38.71949869799151,1866.2028137735103,-1.0,1.9888578439449762,22.07042198014777,6
62,401,14,700068,5.0,1.0,20.81490060959553,24.053559870572602,30.400916309222396,1110.3053541673994,-1.0,-1.0,-1.0,6
63,401,15,700069,5.0,1.0,25.492305871185902,22.66457879065395,32.97192079579375,1376.4435425694082,-1.0,-1.0,-1.0,6
64,401,16,700070,5.0,1.0,23.259682320045343,23.72936280864695,32.56558504319844,1055.7747381502843,-1.0,-1.0,-1.0,6
65,503,1,700071,5.0,1.0,22.239921551025216,25.493301221263042,38.410175836127934,1214.3867479898804,-1.0,-1.0,-1.0,6
66,503,2,700072,5.0,1.0,21.00205391928233,22.932013849125408,30.93771788452992,678.8662565107843,-1.0,-1.0,-1.0,6
67,503,3,700073,5.0,1.0,26.263522702682547,23.629692136289506,30.493526104406325,690.0015274852419,-1.0,3.605807673443339,25.356626600424605,6
68,503,4,700074,5.0,1.0,19.638798089063748,24.380126950854184,37.53037179617071,1612.1095979339716,-1.0,0.20578511133027494,23.38181013304103,6
69,503,5,700075,5.0,1.0,24.1304204323018,24.0494788496038,32.817262217288224,367.2740369387759,-1.0,2.3590139735219893,22.43990214756853,6
70,503,6,700076,5.0,1.0,25.77284181948036,23.457042641303634,28.88828947259124,878.9964270539849,-1.0,-1.0,-1.0,6
71,503,7,700077,5.0,1.0,26.83534808562596,25.365412812321324,31.50462569462567,1145.4250913225092,0.9181129804376883,-1.0,-1.0,6
72,503,8,700078,5.0,1.0,27.677515359691874,24.15425897484718,28.545680187476396,1379.761640864348,-1.0,-1.0,-1.0,6
73,503,9,700079,5.0,1.0,24.081055559825806,22.82106978896238,38.52193881087939,398.7106360748898,-1.0,-1.0,-1.0,6
74,503,10,700080,5.0,1.0,22.715791977940516,24.425653389470597,30.064357699475465,1803.182535680458,-1.0,-1.0,-1.0,6
75,503,11,700081,5.0,1.0,24.679358579066456,23.044085969964826,36.98676091640898,1322.742594679849,-1.0,1.909834431799226,23.935095214185807,6
76,503,12,700082,5.0,1.0,24.445605597600967,24.719917045403285,37.70084987072662,1361.3878607864565,-1.0,1.7791452569346953,23.301483924297916,6
77,503,13,700083,5.0,1.0,24.04333053668356,23.153203380624237,31.122463572599674,1805.1400901451364,1.3383706469472418,-1.0,-1.0,6
78,503,14,700084,5.0,1.0,23.338713145237012,22.64238911174938,34.829461483183636,1592.2403120038432,-1.0,-1.0,-1.0,6
79,503,15,700085,5.0,1.0,19.495845607318287,24.13905038234345,35.18799922781249,1591.4866631627299,-1.0,0.4373107405038808,22.89515322323844,6
80,503,16,700086,5.0,1.0,22.237457781937888,22.836349800119446,29.52140888726913,1792.8241962079048,-1.0,-1.0,-1.0,6
