path,bytes,md5
artifacts\runs\v4-20260906-2870262\fopdt_cross_validation_timeseries.csv,362230,f417f39ff8229bb87f2873473b3119f6
artifacts\runs\v4-20260906-2870262\manifest.yaml,3279,c260e36ebbade9e550459b16ecd2e128
artifacts\runs\v4-20260906-2870262\physical_cross_validation.csv,559,30198cebb2308909593784b9dd01887d
artifacts\runs\v4-20260906-2870262\physical_cross_validation.png,333152,b372a7182243547f8693ee079787f37f
artifacts\runs\v4-20260906-2870262\physical_cross_validation_timeseries.csv,82017,2bc30e71894a329845f5bc1fb2cda41f
artifacts\runs\v4-20260906-2870262\provenance.csv,614,9b4d7e90f9843d3d2d098096e12a2721
artifacts\runs\v4-20260906-2870262\sealed_80_summary.csv,815,a2f725195979f107146854c5fe976269
artifacts\runs\v4-20260906-2870262\timestep_convergence.csv,386,fcd9496dc7847585fb7ca0abad98487c
build_detailed_docs.py,35996,a658582e1da654cc1fb9430346023ed8
build_learning_manual.py,58002,35b997da640d24ca31e06a9cca7fee63
DEMO_GUIDE.md,5472,e4eb2a3ae3b4737ba7e7712927964392
embedded\__pycache__\export_policy.cpython-311.pyc,21922,d88b75e1e76dd0b02f1d5b12e00e0b3d
embedded\esp32_seven_algorithm_demo\platformio.ini,200,4f1cbd5b97825356ac56f2c76c35e9b0
embedded\esp32_seven_algorithm_demo\README.md,1268,98f7a5dd1da027804eb793476ca41d8a
embedded\esp32_seven_algorithm_demo\src\main.cpp,9341,e28f4277a3c311abb68e9c67d55e2990
embedded\export_policy.py,12845,893edb35e509eb60937578a4070e68d0
embedded\generated_demo_profiles.hpp,1336,81c24603b330739ffaa99656d47cab3c
embedded\generated_policy.hpp,2783,3a61a2e69e556a51a6f9524d7aae719f
embedded\hvac_pid_controller.hpp,11107,6509ad044b1aa037e3a8f2d0369ceaef
embedded\modbus_config.hpp,1165,20ff5a3ae71c068cbfe85ec46f9ea2b7
embedded\modbus_rtu_adapter.hpp,3561,830bfe8f3955aba3ba2793462e5f62d1
embedded\README.md,7081,301467be1e6bbb218c3e2d7efd1494f1
embedded\run_mcu_validation.py,6116,9cbb46959e9a7199d0965eeec8eb4c4c
embedded\testbench.cpp,6619,da3b79715ca14bdb0e2258c2cc9f34c1
embedded\testbench.exe,77009,7012515af0bacea250059611f9338a3e
embedded\validate_esp32_serial.py,3178,06d0e37e2a992e03d9fcff8caba22be6
embedded\wokwi\common\sketch.ino,4235,3d73fa2e9da1b61592f784c77cc41ed3
embedded\wokwi\esp32\diagram.json,1467,0e01efe5e247e50d8153425754041026
embedded\wokwi\esp32\generated_policy.hpp,2783,3a61a2e69e556a51a6f9524d7aae719f
embedded\wokwi\esp32\hvac_pid_controller.hpp,11107,6509ad044b1aa037e3a8f2d0369ceaef
embedded\wokwi\esp32\sketch.ino,4235,3d73fa2e9da1b61592f784c77cc41ed3
embedded\wokwi\prepare_projects.py,481,a3a92ee87218411340df2e1dbf4538bc
embedded\wokwi\README.md,1440,479239cdfbef5b885c53ed04927a485f
embedded\wokwi\stm32f103\diagram.json,1571,6e945bd9909140b64cd9e102b6fa0af7
embedded\wokwi\stm32f103\generated_policy.hpp,2783,3a61a2e69e556a51a6f9524d7aae719f
embedded\wokwi\stm32f103\hvac_pid_controller.hpp,11107,6509ad044b1aa037e3a8f2d0369ceaef
embedded\wokwi\stm32f103\sketch.ino,4235,3d73fa2e9da1b61592f784c77cc41ed3
experiments\manifests\v4.yaml,3279,c260e36ebbade9e550459b16ecd2e128
EXPERIMENTS.md,2700,a96ca385a401e035e51a10bcb3a75eca
hvac_pid\__init__.py,336,bde50d4f347fb08ae5d7181befb1e350
hvac_pid\__pycache__\__init__.cpython-311.pyc,561,27088f8f280c96625b92d2f374c29e16
hvac_pid\__pycache__\actuator.cpython-311.pyc,4379,8735bc91fa47f5266633c90e44f82fae
hvac_pid\__pycache__\advanced_tuning.cpython-311.pyc,57151,80dca12496442f00cedb3df23147dea2
hvac_pid\__pycache__\ai_controllers.cpython-311.pyc,58237,bb7a8dbe97f1d4a627d6b12c1089eeb4
hvac_pid\__pycache__\algorithm_reports.cpython-311.pyc,47297,eea06b815d7299ace87d05eac9878e14
hvac_pid\__pycache__\config.cpython-311.pyc,15980,120dcd019abdbaab6458c176220f9734
hvac_pid\__pycache__\controllers.cpython-311.pyc,29719,c8cb8e967b3cb966d5da24d58799a469
hvac_pid\__pycache__\embedded_demo.cpython-311.pyc,62033,8b6b6fea7dbd9daf1bacd9c2d1316253
hvac_pid\__pycache__\env.cpython-311.pyc,1710,f46742f21885980339cfba02f7d8bc36
hvac_pid\__pycache__\metrics.cpython-311.pyc,8470,cb0c710d249286feb525403ec58e4c9b
hvac_pid\__pycache__\pipeline.cpython-311.pyc,45734,b8b214aea1f8cfe57feeebd18ef0b199
hvac_pid\__pycache__\plant.cpython-311.pyc,5641,24f74de03accf28c1a38f90967ad0736
hvac_pid\__pycache__\plotting.cpython-311.pyc,47035,940cf3edb82ef1015f01defa0f4bc029
hvac_pid\__pycache__\report.cpython-311.pyc,77336,820cf0ccb265427adb006ed34b81e0dc
hvac_pid\__pycache__\safety.cpython-311.pyc,1897,d8c8411a213356518fa9b5fbc85c4885
hvac_pid\__pycache__\scheduler.cpython-311.pyc,5189,34bd181f02a52d961558d643aa0c25ca
hvac_pid\__pycache__\simulator.cpython-311.pyc,5790,f326b8e010b06816c676aa0b90da8015
hvac_pid\__pycache__\timebase.cpython-311.pyc,1378,b0662a2ad129c27eecdf9e80d862e5a7
hvac_pid\__pycache__\tuning.cpython-311.pyc,24412,966e896d49270da68896a127ae882d66
hvac_pid\__pycache__\validation.cpython-311.pyc,34890,ffca0e425fb5a37d6552c3655a41a0fc
hvac_pid\actuator.py,2874,22ad67523856f5079f6f0f2739ba0227
hvac_pid\advanced_tuning.py,43906,674b7602eeccd7dd9ede52693988cdcd
hvac_pid\ai_controllers.py,46649,97f2fc772a77b176c6161988f09e5b4d
hvac_pid\algorithm_reports.py,34509,6189495c17635965d2a498e2a19d9063
hvac_pid\config.py,14397,12e893d2376fb2db682f40889eb9552e
hvac_pid\controllers.py,20199,86367e721ed09828eda0debbbc759846
hvac_pid\embedded_demo.py,48850,28d0cd9fee637286bd9e8b9e1e8f15a7
hvac_pid\env.py,1224,77e79f94bdc83a8c59070834eb91bcca
hvac_pid\metrics.py,5031,f7a8c50f28b8fa1f29be07cdc99ff8fa
hvac_pid\pipeline.py,35263,e828a591e9a2d9594a47bffd37e41f3d
hvac_pid\plant.py,3684,0b13c73192219ab3b902c2c3fdfa2a22
hvac_pid\plotting.py,22283,580a38af9294a9c26317a04b21fe022f
hvac_pid\report.py,61319,f5b129bb28ed54c97a232879e00ec6e6
hvac_pid\safety.py,1210,7c5403b7caf29addfed4cef1d217c4dd
hvac_pid\scheduler.py,2355,bd7e2061d0a72ca9a5541dbc34e1779a
hvac_pid\simulator.py,3686,baba64c573edc4972f705311a83b03a8
hvac_pid\timebase.py,1149,4f764b5e57b885b732dcbce294f9a781
hvac_pid\tuning.py,13243,d1080eafcd71f05ad73828c4b60d0b38
hvac_pid\validation.py,22933,fb094156115566d8e32ba12c91b2a9b2
main.py,2107,84cff25797191d70f7f64b6b4196b8fd
modelica\check_gui_environment.mos,419,58d7faebf5ebff06df4ec025403665ca
modelica\check_openmodelica.mos,144,ee2d4b9c9af3baead528deb5a88838e6
modelica\extract_fopdt.py,4383,71b19a11221cb98664f0da234e3125d0
modelica\HVACAI\package.mo,127,3014fb31c07e357560f2c5ee5be73da4
modelica\HVACAI\package.order,25,680b05641c57599c547fad359fd7668b
modelica\HVACAI\PrecisionCabinetCooling.mo,4497,c3a5c839f72b3df410b66019fdf0bc7a
modelica\OMEDIT_GUI_GUIDE.md,2218,ed66913a6891c5b2d4cc4ef870f5d553
modelica\README.md,2912,9f349f489c63cf893091d4fe2683e940
modelica\run_openmodelica_validation.ps1,2335,0a601097733d633ec5061ea90d521b7b
modelica\run_reference.mos,585,a6e2bdaaaa8c68a5d081d7d92f011bdb
open_modelica_gui.bat,1511,cc64b123812a4a36d9a724a528b38104
outputs\adaptive_state_spec.csv,1740,0db4aae49f768e728ac05561d69287f5
outputs\algorithm_reports\01_zn_reaction_curve.html,1028638,df1e2c92edc56e15804c990841dc6d41
outputs\algorithm_reports\01_zn_reaction_curve_initial_cooling.png,143510,59170ce7912542da7fbb1438121b8769
outputs\algorithm_reports\01_zn_reaction_curve_setpoint_step.png,154083,ea0b004aa2f0ab5a4b3c0cf80ed22d5a
outputs\algorithm_reports\01_zn_reaction_curve_sustained_heat.png,163778,1037fceb86a00fa5d8e2e891bb158f42
outputs\algorithm_reports\02_imc.html,1001862,d6ec847ccf2caf800d1ea087e831eb0c
outputs\algorithm_reports\02_imc_initial_cooling.png,129220,441065e69d5f3701106d5f133e11bafd
outputs\algorithm_reports\02_imc_setpoint_step.png,147738,861ef4a4862e2333f2f34bfb79121d13
outputs\algorithm_reports\02_imc_sustained_heat.png,163153,61d15fa8accbffceffeed90c22f4d7b7
outputs\algorithm_reports\03_bayesian_auto_tune.html,1014068,c82b679a84ca73250fa12d44578a18fb
outputs\algorithm_reports\03_bayesian_auto_tune_initial_cooling.png,147064,c7439e650ffba9aa9338a03e8e3f55d1
outputs\algorithm_reports\03_bayesian_auto_tune_setpoint_step.png,158651,44e13cc56ffe7596a22cd1d3a10665be
outputs\algorithm_reports\03_bayesian_auto_tune_sustained_heat.png,176878,fe5f00c8924f7e86accc0e07c4fe4b4f
outputs\algorithm_reports\04_fnn_self_tuning.html,1198786,bbb721b27d820036e79b2732ac3f07d2
outputs\algorithm_reports\04_fnn_self_tuning_initial_cooling.png,150832,6d807af2b1cd2cf5b6cfcf55d6091c55
outputs\algorithm_reports\04_fnn_self_tuning_setpoint_step.png,170332,f15b32634ed0f1a1413a59a8de89a287
outputs\algorithm_reports\04_fnn_self_tuning_sustained_heat.png,207866,62a8c136f94932e09bf583f1bbaba84f
outputs\algorithm_reports\05_rl_self_tuning.html,1963656,bc0a27f58f87cc24836f5f924ae833c9
outputs\algorithm_reports\05_rl_self_tuning_initial_cooling.png,147887,7c11484c8ea3e44861fd5df7c011fad0
outputs\algorithm_reports\05_rl_self_tuning_setpoint_step.png,181404,36d8efed171b1211165e694e435016cf
outputs\algorithm_reports\05_rl_self_tuning_sustained_heat.png,211917,4169dec825d6ca880a05951686a83290
outputs\bayesian_search_history.csv,1979,818a2e3063afb4fd826ccd81f40c31ea
outputs\bayesian_search_trace.png,256582,f358b8a71dda453a2aeb63aff2c15479
outputs\case_initial_cooling.png,176441,383b26774297d03b1a19b7a1613f5f46
outputs\case_metrics.csv,4756,055e50afc88b31cb2422c3bbe1b5ea13
outputs\case_setpoint_step.png,262448,d49a2a3316e294ba07f0c91a9bd0f065
outputs\case_studies.png,474578,51822535688db593b7eb593564b47169
outputs\case_sustained_heat.png,319978,46efe4c8a038830ff793ad94bc26c701
outputs\case_timeseries.csv,764899,f5be685f634280fc820990e25b2c2cfe
outputs\classical_tuning_history.csv,3561423,450a9c2d65083abda4d044c332011cd5
outputs\classical_tuning_process.png,284716,7e788775920d63dd818671dd4775b28f
outputs\classical_tuning_steps.csv,3970,f390aeece3d3314e450aa7ad47b19b3b
outputs\cross_validation_environment.csv,423,1fda5b51cd1a360e95e7292717235dfe
outputs\dataset_manifest.csv,3424,ee76ddf17792a41072c9d713fe9b74d1
outputs\deployment_acceptance.csv,2203,9864a627edebb45c876898aa9f5425d9
outputs\documents\01_贝叶斯_FNN_RL_全链路技术报告.docx,2359484,33dddfd87bd3803197ba9835c29f3a4b
outputs\documents\02_贝叶斯_FNN_RL_零基础解释版.docx,2359643,cc9eb5000ae45128d4ce6ac45c37ded3
outputs\dynamic_comparison.png,391868,27a2926fd703486b16658c4cf23592bc
outputs\dynamic_metrics.csv,1836,9ca8a85c4f2bb2b3a250256b4284536d
outputs\dynamic_timeseries.csv,546719,4f3ff786630685cc05005e166ab24aa2
outputs\engineering_report.html,4909669,8f22308c651de8504af7cef4aa9faa17
outputs\engineering_report.md,11748,33e2ec0742d669f7fe944ced7302c016
outputs\fnn_context_coefficients.npy,192,a33c713f15abfaed4b6907208da78800
outputs\fnn_context_coefficients_candidate.npy,192,a33c713f15abfaed4b6907208da78800
outputs\fnn_rule_table.npy,528,8d87170ad6e103f3d8df637f32703822
outputs\fnn_rule_table_candidate.npy,528,8d87170ad6e103f3d8df637f32703822
outputs\fnn_training_history.csv,4745,3cbea35d7618af3bb527ca79fa0b0207
outputs\fnn_training_samples.csv,341860,ae32c77442bc3c5c32c6edd486fe16ea
outputs\fnn_training_trace.png,342391,82f243be463bb3b6050c7ca2eb981f99
outputs\fopdt_cross_validation.csv,686,9291510000e94af4e47dc634bb91dd49
outputs\fopdt_cross_validation.png,228964,e9e5d0be5e4b370e0614765078525d03
outputs\fopdt_cross_validation_timeseries.csv,362240,1d0f2fb40d536cf8ce62ae20fb101a55
outputs\fopdt_fit_history.csv,7616,d57060ad6e26bbd8044274440e53ef66
outputs\gain_scheduler.joblib,774835,fb4273a00cc88a772d0037e701704638
outputs\global_bayesian_tuning.csv,95,624ca7c89b8512f04a43ec4d5856c4d1
outputs\holdout_metrics.csv,9905,dcfe4dbd8a80ed21ee3fe6828633c02e
outputs\holdout_scenarios.csv,2833,3c3226852cf8b14ab23766462c240e95
outputs\holdout_summary.csv,3403,f4259024b8baa432c05ce5a8120ef20e
outputs\imc_lambda_tuning.csv,2296,1862edc8c46949aa55592f51d854ab2c
outputs\mcu_pc_sil_log.txt,320,1ac38f60258b3f43a8a7db6069d1b0e8
outputs\mcu_validation_summary.csv,306,9544254f80ae2c66b6f649f52a6f961a
outputs\mcu_wokwi_validation.csv,672,071915575f671d369318c20699d4ca54
outputs\modelica\PrecisionCabinetCooling_res.csv,6001188,102f89b334075a43226e63e0ba8211c9
outputs\online_gain_history.csv,1271,def5aa575fc436a18018410ef65a81b3
outputs\openmodelica_cross_validation.csv,378,a4718362df7a8876fffd99a2be794f6a
outputs\openmodelica_cross_validation.png,196427,ce93a9a2b6e708585fc157ddeca6e779
outputs\openmodelica_cross_validation_timeseries.csv,1011964,1a5c73b1a05fcc3161abee5ce5396b9d
outputs\physical_cross_validation.csv,555,6d96d70201ee85d013926717b3e4bc42
outputs\physical_cross_validation.png,304652,c23cf20bcd6d38f3de07488a45a2e088
outputs\physical_cross_validation_timeseries.csv,81369,6dd205a3124fdbd280d7b084d24f8157
outputs\report_assets\katex\auto-render.min.js,3486,2499f8f84f6a72af275029af0206a56b
outputs\report_assets\katex\fonts\KaTeX_AMS-Regular.ttf,63632,56573229753fad48910bda2ea1a6dd54
outputs\report_assets\katex\fonts\KaTeX_AMS-Regular.woff,33516,10824af77e9961cfd548c8a458f10851
outputs\report_assets\katex\fonts\KaTeX_AMS-Regular.woff2,28076,66c678209ce93b6e2b583f02ce41529e
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Bold.ttf,12368,497bf407c4c609c6cf1f1ad38f437f7f
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Bold.woff,7716,de2ba279933d60f7819ff61f71c17bed
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Bold.woff2,6912,a9e9b0953b078cd40f5e19ef4face6fc
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Regular.ttf,12344,e6fb499fc8f9925eea3138cccba17fff
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Regular.woff,7656,a25140fbe6692bffe71a2ab861572eb3
outputs\report_assets\katex\fonts\KaTeX_Caligraphic-Regular.woff2,6908,08d95d99bf4a2b2dc7a876653857f154
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Bold.ttf,19584,b9d7c4497cab3702487214651ab03744
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Bold.woff,13296,40934fc076960bb989d590db044fef62
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Bold.woff2,11348,796f3797cdf36fcaea18c3070a608378
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Regular.ttf,19572,97a699d83318e9334a0deaea6ae5eda2
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Regular.woff,13208,e435cda5784e21b26ab2d03fbcb56a99
outputs\report_assets\katex\fonts\KaTeX_Fraktur-Regular.woff2,11316,f9e6a99f4a543b7d6cad1efb6cf1e4b1
outputs\report_assets\katex\fonts\KaTeX_Main-Bold.ttf,51336,8e431f7ece346b6282dae3d9d0e7a970
outputs\report_assets\katex\fonts\KaTeX_Main-Bold.woff,29912,4cdba6465ab9fac5d3833c6cdba7a8c3
outputs\report_assets\katex\fonts\KaTeX_Main-Bold.woff2,25324,a9382e25bcf75d856718fcef54d7acdb
outputs\report_assets\katex\fonts\KaTeX_Main-BoldItalic.ttf,32968,52fb39b0434c463d5df32419608ab08a
outputs\report_assets\katex\fonts\KaTeX_Main-BoldItalic.woff,19412,5f875f986a9bce1264e8c42417b56f74
outputs\report_assets\katex\fonts\KaTeX_Main-BoldItalic.woff2,16780,d873734390c716d6e18ff3f71ac6eb8b
outputs\report_assets\katex\fonts\KaTeX_Main-Italic.ttf,33580,39349e0a2b366f38e2672b45aded2030
outputs\report_assets\katex\fonts\KaTeX_Main-Italic.woff,19676,8ffd28f6390231548ead99d7835887fa
outputs\report_assets\katex\fonts\KaTeX_Main-Italic.woff2,16988,652970624cde999882102fa2b6a8871f
outputs\report_assets\katex\fonts\KaTeX_Main-Regular.ttf,53580,818582dae57e6fac46202cfd844afabb
outputs\report_assets\katex\fonts\KaTeX_Main-Regular.woff,30772,f1cdb692ee31c10b37262caffced5271
outputs\report_assets\katex\fonts\KaTeX_Main-Regular.woff2,26272,f8a7f19f45060f7a177314855b8c7aa3
outputs\report_assets\katex\fonts\KaTeX_Math-BoldItalic.ttf,31196,6589c4f1f587f73f0ad0af8ae35ccb53
outputs\report_assets\katex\fonts\KaTeX_Math-BoldItalic.woff,18668,48155e43d9a284b54753e50e4ba586dc
outputs\report_assets\katex\fonts\KaTeX_Math-BoldItalic.woff2,16400,1320454d951ec809a7dbccb4f23fccf0
outputs\report_assets\katex\fonts\KaTeX_Math-Italic.ttf,31308,fe5ed5875d95b18c98546cb4f47304ff
outputs\report_assets\katex\fonts\KaTeX_Math-Italic.woff,18748,ed7aea12d765f9e2d0f9bc7fa2be626c
outputs\report_assets\katex\fonts\KaTeX_Math-Italic.woff2,16440,d8b7a801bd87b324efcbae7394119c24
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Bold.ttf,24504,f2ac73121357210d91e5c3eaa42f72ea
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Bold.woff,14408,0e897d27f063facef504667290e408bd
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Bold.woff2,12216,ad546b4719bcf690a3604944b90b7e42
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Italic.ttf,22364,f60b4a34842bb524b562df092917a542
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Italic.woff,14112,ef725de572b71381dccf53918e300744
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Italic.woff2,12028,e934cbc86e2d59ceaf04102c43dc0b50
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Regular.ttf,19436,3243452ee6817acd761c9757aef93c29
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Regular.woff,12316,5f8637ee731482c44a37789723f5e499
outputs\report_assets\katex\fonts\KaTeX_SansSerif-Regular.woff2,10344,1ac3ed6ebe34e473519ca1da86f7a384
outputs\report_assets\katex\fonts\KaTeX_Script-Regular.ttf,16648,a189c37d73ffce63464635dc12cbbc96
outputs\report_assets\katex\fonts\KaTeX_Script-Regular.woff,10588,a82fa2a7e18b8c7a1a9f6069844ebfb9
outputs\report_assets\katex\fonts\KaTeX_Script-Regular.woff2,9644,1b3161eb8cc67462d6e8c2fb96c68507
outputs\report_assets\katex\fonts\KaTeX_Size1-Regular.ttf,12228,0d8d9204004bdf126342605f7bbdffe6
outputs\report_assets\katex\fonts\KaTeX_Size1-Regular.woff,6496,4788ba5b6247e336f734b742fe9900d5
outputs\report_assets\katex\fonts\KaTeX_Size1-Regular.woff2,5468,82ef26dc680ba60d884e051c73d9a42d
outputs\report_assets\katex\fonts\KaTeX_Size2-Regular.ttf,11508,1fdda0e59ed35495ebac28badf210574
outputs\report_assets\katex\fonts\KaTeX_Size2-Regular.woff,6188,b0628bfd27c979a09f702a2277979888
outputs\report_assets\katex\fonts\KaTeX_Size2-Regular.woff2,5208,95a1da914c20455a07b7c9e2dcf2836d
outputs\report_assets\katex\fonts\KaTeX_Size3-Regular.ttf,7588,963af864cbb10611ba33267ba7953777
outputs\report_assets\katex\fonts\KaTeX_Size3-Regular.woff,4420,4de844d4552e941f6b9c38837a8d487b
outputs\report_assets\katex\fonts\KaTeX_Size3-Regular.woff2,3624,9108a400f4787cffdcc3a3b813401e6a
outputs\report_assets\katex\fonts\KaTeX_Size4-Regular.ttf,10364,27a23ee69999affa55491c7dab8e53bf
outputs\report_assets\katex\fonts\KaTeX_Size4-Regular.woff,5980,3045a61f722bc4b198450ce69b3e3824
outputs\report_assets\katex\fonts\KaTeX_Size4-Regular.woff2,4928,61522cd3d9043622e235ab57762754f2
outputs\report_assets\katex\fonts\KaTeX_Typewriter-Regular.ttf,27556,6bf4287568e1d3004b54d5d60f9f08f9
outputs\report_assets\katex\fonts\KaTeX_Typewriter-Regular.woff,16028,0e0460587676d22eae09accd6dcfebc6
outputs\report_assets\katex\fonts\KaTeX_Typewriter-Regular.woff2,13568,b8b8393d2e65fcebda5fa99fa3264f41
outputs\report_assets\katex\katex.min.css,24728,f135708cdeb09e80a2c4125b22d30bd5
outputs\report_assets\katex\katex.min.js,272179,45d69fd6e087c760434078d3cd280f04
outputs\report_assets\katex\katex.mjs,618249,77f0b0bee07ec70cd349c543fe21c1fa
outputs\report_assets\katex\LICENSE,1294,a4319b1f01181c5babd2702855a5c928
outputs\review_defect_matrix.csv,2446,c629a42a56a15b8af87988b2b7dde7c0
outputs\review_remediation.md,2730,b52444f338eaa04db231b16b3147b9df
outputs\rl_q_table.npy,5528,a579dbaa5bb0ed2dd271c5ef22fe83f7
outputs\rl_q_table_candidate.npy,5528,a579dbaa5bb0ed2dd271c5ef22fe83f7
outputs\rl_training_history.csv,188975,454702f8fef99dcefad97eb46f9cad35
outputs\rl_training_trace.png,899919,8dc38b467cad1fad702ce3b4fa5bb856
outputs\rl_training_transitions.csv,7710212,cd57b1eeaa5d27a17f9e49cc6313af51
outputs\submission_package\excel_build_inspection.txt,15872,98cf9bc262591e10d0c5d5113af37863
outputs\submission_package\excel_previews\KpKi轨迹数据.png,236555,3a7c7f43b2924911f7c3f91b5687ec58
outputs\submission_package\excel_previews\三类典型场景.png,248810,841697dd43fe105511ac8f9617cba3c0
outputs\submission_package\excel_previews\实验设计.png,191748,e0429a9f8fe9ddf38d0a369b75887b71
outputs\submission_package\excel_previews\封面与说明.png,156371,117a7d055566cb734b85ab243938b14e
outputs\submission_package\excel_previews\数据字典.png,153753,1dcef900da3f35fa02eea22196ed1972
outputs\submission_package\excel_previews\方法优劣对比.png,315042,b2d09660fe925fb511449565047c0fe2
outputs\submission_package\excel_previews\混合动态工况.png,137703,d2617fe91404bfb8b2d0dca751109abe
outputs\submission_package\excel_previews\算法对比总表.png,154897,e246096991029b49adc7ef78c26c2caf
outputs\submission_package\excel_previews\训练与部署.png,190209,7a0240e2067856748ff2123ab85390ba
outputs\submission_package\excel_validation.txt,16647,d3e6b8a5fb69d6c35da9d04e072c69e5
outputs\submission_package\HVAC_AI_PID_仿真实验结果.xlsx,240039,5073b7c21b19633fca8f024f7f1cf6de
outputs\submission_package\HVAC_AI_PID_仿真实验结果_含MCU验证.xlsx,243645,f5ab6b008289d479077db1d2fac56359
outputs\submission_package\HVAC_AI_PID_关键展示.pptx,1648361,1d90edf5708ff324ebeb3ae24af7396b
outputs\submission_package\HVAC_AI_PID_关键展示_含MCU验证.pptx,1652852,c5943d282ff6c278e790e1e3c0e9afc4
outputs\submission_package\HVAC_AI_PID_关键展示_整定训练完整版.pptx,4501453,4555123dfd0d0b57c1ca0a904774ebeb
